mom,id,AP,n_loci
urb25,590,50,9
urb25,88,33.333333333333336,9
urb26,104,55.55555555555556,9
urb26,109,66.66666666666667,9
urb26,180,50,9
urb26,268,50,8
urb26,273,50,8
urb26,320,50,7
urb26,386,50,7
urb26,502,44.44444444444444,9
urb26,525,50,9
urb26,551,55.55555555555556,9
urb26,578,56.25,8
urb26,624,43.75,8
urb26,633,68.75,8
urb26,661,50,8
urb27,5151,50,8
urb27,5154,44.44444444444444,9
urb27,5156A,50,9
urb27,5156B,61.111111111111114,9
urb27,5157,44.44444444444444,9
urb27,5158,50,9
urb27,5159,38.888888888888886,9
urb27,5160A,56.25,8
urb27,5160B,50,8
urb27,5162,55.55555555555556,9
urb27,5163A,50,9
urb27,5163B,44.44444444444444,9
urb27,5164,38.888888888888886,9
urb27,5165A,61.111111111111114,9
urb27,5165B,50,9
urb27,5168,38.888888888888886,9
urb28,103,56.25,8
urb28,118,55.55555555555556,9
urb28,135,44.44444444444444,9
urb28,171,57.142857142857146,7
urb28,205,44.44444444444444,9
urb28,240,44.44444444444444,9
urb28,27,44.44444444444444,9
urb28,295,50,8
urb28,318,50,8
urb28,34,56.25,8
urb28,369,50,8
urb28,387,42.857142857142854,7
urb28,39,50,8
urb28,474,44.44444444444444,9
urb28,49,50,9
urb28,50,55.55555555555556,9
urb28,506,50,9
urb28,512,38.888888888888886,9
urb28,541,38.888888888888886,9
urb28,62,50,9
urb28,660,44.44444444444444,9
urb28,75,50,8
urb29,113,33.333333333333336,9
urb29,124,62.5,8
urb29,165,50,6
urb29,394,50,8
urb29,400,38.888888888888886,9
urb29,504,64.28571428571429,7
urb29,552,43.75,8
urb31,108,44.44444444444444,9
urb31,231,75,6
urb31,247,41.666666666666664,6
urb31,308,50,6
urb31,346,58.333333333333336,6
urb31,460,44.44444444444444,9
urb31,481,50,8
urb31,514,64.28571428571429,7
urb31,539,75,6
urb31,55,66.66666666666667,6
urb31,576,66.66666666666667,6
urb31,588,62.5,8
urb31,612,50,8
urb31,644,50,6
urb32,189,44.44444444444444,9
urb32,264,50,7
urb32,378,50,9
urb32,382,55.55555555555556,9
urb32,390,62.5,8
urb32,42,44.44444444444444,9
urb32,420,43.75,8
urb32,45,44.44444444444444,9
